file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\translate\MR_Translate_Input.java,demo.convexhull.mr.translate.MR_Translate_Input,class,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,2,2,1,0,1,0,0,0,0,11,17,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\DemoRunner.java,demo.DemoRunner,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\permute\MR_Permute_Output.java,demo.convexhull.mr.permute.MR_Permute_Output,class,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,17,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,class,2,5,3,2,11,1,0,9,3,0.0,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,30,3,4,1,0,0,0,14,10,17,10,2,0,0,0,20,17,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\test\java\demo\textnorm\TextNormSmokeTest.java,demo.textnorm.TextNormSmokeTest,class,9,9,0,9,2,1,0,7,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,1,0,0,0,2,4,0,4,0,0,0,0,20,1,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\textnorm_duplicate\MetamorphicFunction_textnorm_duplicate.java,mtaas.generated.textnorm_duplicate.MetamorphicFunction_textnorm_duplicate,class,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,2,0,2,0,0,0,0,9,17,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\permute\MR_Permute_Input.java,demo.convexhull.mr.permute.MR_Permute_Input,class,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,2,1,2,0,2,0,0,0,0,13,17,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\translate\MR_Translate_Output.java,demo.convexhull.mr.translate.MR_Translate_Output,class,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,2,2,1,0,1,0,0,0,0,12,17,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderInputMetamorphosis.java,demo.order.OrderInputMetamorphosis,class,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\rotate\MR_Rotate_Input.java,demo.convexhull.mr.rotate.MR_Rotate_Input,class,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,2,1,1,1,1,0,0,0,0,11,17,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextCorpus.java,demo.textnorm.TextCorpus,class,0,6,6,0,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,1,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderOutputModelComparer.java,demo.order.OrderOutputModelComparer,class,1,2,1,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,class,4,7,3,4,8,1,0,10,3,0.0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,25,4,2,1,0,0,4,3,5,0,5,3,0,0,0,20,1,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullComparer.java,demo.convexhull.HullComparer,class,3,3,0,3,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,2,2,2,0,2,0,0,0,0,10,17,0
