file,class,method,variable,usage
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\order_total\MetamorphicRelation_order_total.java,mtaas.generated.order_total.MetamorphicRelation_order_total,validate/1[demo.order.Order],output2,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\scale\MR_Scale_Output.java,demo.convexhull.mr.scale.MR_Scale_Output,transform/1[java.lang.Object],baseOut,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\scale\MR_Scale_Output.java,demo.convexhull.mr.scale.MR_Scale_Output,transform/1[java.lang.Object],h,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\Order.java,demo.order.Order,Order/1[java.util.List<java.math.BigDecimal>],items,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\textnorm_duplicate\MetamorphicRelation_textnorm_duplicate.java,mtaas.generated.textnorm_duplicate.MetamorphicRelation_textnorm_duplicate,validate/1[demo.textnorm.TextCorpus],input,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\textnorm_duplicate\MetamorphicRelation_textnorm_duplicate.java,mtaas.generated.textnorm_duplicate.MetamorphicRelation_textnorm_duplicate,validate/1[demo.textnorm.TextCorpus],output1,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\textnorm_duplicate\MetamorphicRelation_textnorm_duplicate.java,mtaas.generated.textnorm_duplicate.MetamorphicRelation_textnorm_duplicate,validate/1[demo.textnorm.TextCorpus],output2,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderDataGenerator.java,demo.order.OrderDataGenerator,make/1[demo.order.OrderGenModel],i,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderDataGenerator.java,demo.order.OrderDataGenerator,make/1[demo.order.OrderGenModel],model,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderDataGenerator.java,demo.order.OrderDataGenerator,make/1[demo.order.OrderGenModel],items,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,make/1[demo.textnorm.TextGenModel],len,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,make/1[demo.textnorm.TextGenModel],sentences,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,make/1[demo.textnorm.TextGenModel],rnd,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,make/1[demo.textnorm.TextGenModel],i,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,make/1[demo.textnorm.TextGenModel],model,4
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,make/1[demo.textnorm.TextGenModel],j,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,make/1[demo.textnorm.TextGenModel],sb,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,"randBetween/3[java.util.Random,int,int]",min,6
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,"randBetween/3[java.util.Random,int,int]",max,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,"randBetween/3[java.util.Random,int,int]",rnd,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextInputMetamorphosisDuplicate.java,demo.textnorm.TextInputMetamorphosisDuplicate,duplicate/1[demo.textnorm.TextCorpus],input,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextInputMetamorphosisDuplicate.java,demo.textnorm.TextInputMetamorphosisDuplicate,duplicate/1[demo.textnorm.TextCorpus],s,2
